(10) rounds of ammunition,Bullets,"(Diez) balas, (diez) disparos",
24 D program,Programa obligatorio para personas que enfrentan cargos por conducir en estado de embriaguez.,Programa 24 D,
Rule 29B,Massachusetts Supplemental Probate and Family Court Rule about temporary conservatorships and guardianships.,Regla suplementaria del tribunal de familia y asuntos sucesorios relacionada con las custodias y curatelas temporales.,
68 A,Psycho-social evaluation performed by court-affiliated clinicians to aide the judge in determining the appropriate sentence for a child accused of being a delinquent child.,68 A.,
A.B.D.W.,Assault and battery with dangerous/deadly weapon.,Acometimiento y agresi—n con arma mortal/peligrosa.,
A.D.A.,Assistant district attorney.,Fiscal auxiliar de distrito.,
Abatement,,"(of anger) aplacamiento; (of noise, pollution) disminuci—n; reducci—n; (termination) supresi—n.",
"Abeyance, matter was held in","En general, suspensi—n, inactividad o indeterminaci—n de un derecho.  En particular, la situaci—n de un bien inmueble cuando carece de titular, especialmente cuando no existe un sucesor luego de la muerte de su anterior propietario.",                                                             ,
Abscond,,"Fugarse, huir.  Sustraerse a la acci—n de la justicia.",
Abuse,"Physical:  punching, kicking, hitting, grabbing, pushing, shoving, jerking, pulling, shaking, slapping, spitting, biting, pinching, squeezing, blocking a doorway, throwing objects, driving recklessly.",,
Abuse of discretion hearing,"1. An adjudicator's failure to exercise sound, reasonable, and legal decision-making.Ê 2.Ê An appellate court's standard for reviewing a decision that is asserted to be grossly unsound, unreasonable, illegal, or unsupported by the evidence.",Audiencia/vista sobre abuso de autoridad.,
Abuse of power,,Abuso de autoridad.,
Abuse prevention order,,Orden contra el abuso o los malos tratos.,
Acceptance,,Aceptaci—n.,
Accesory after the fact,,Encubridor.,
Accommodate,,"(cater to) tener en cuenta, complacer, satisfacer, contemplar.",
Accost,,"Abordar, importunar.",
Accuracy,,"Exactitud, precisi—n.",
Acompa–ante,,Companion.,
Acquiesce,,Consentir.,
Act,,"Ley, acta.",
"Act together, to get one's",,"Organizarse, hacer las cosas como Dios manda, poner sus asuntos en orden.",
Ad litem,,Para el proceso/litigio.,
Address,,"1) (problem, issue, question) tratar.  2) (speak to, assembly) dirigirse a, pronunciar un discurso ante 3) (direct complaint/question/remark) dirigir.",
Address to the court,Can I have Your Honor's permission to speak?,Con la venia de su Se–or’a.,
